PeakID (cmd=annotatePeaks.pl OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_123	IV	893957	894198	+	28	NA	promoter-TSS (YDR216W)	protein_coding-promoter-TSS (YDR216W)	425	YDR215C	YDR215C	YDR215C			YDR215C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_33	II	378706	378988	+	28	NA	promoter-TSS (YBR069C)	protein_coding-promoter-TSS (YBR069C)	-414	YBR069C	YBR069C	YBR069C			TAT1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_480	XII	737782	738027	+	28	NA	promoter-TSS (YLR304C)	protein_coding-promoter-TSS (YLR304C)	-356	YLR304C	YLR304C	YLR304C			ACO1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_107	IV	538900	539246	+	28	NA	promoter-TSS (YDR040C)	protein_coding-promoter-TSS (YDR040C)	-606	YDR040C	YDR040C	YDR040C			ENA1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_289	VII	598965	599192	+	28	NA	promoter-TSS (YGR055W)	protein_coding-promoter-TSS (YGR055W)	-339	YGR055W	YGR055W	YGR055W			MUP1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_5	I	68086	68561	+	28	NA	promoter-TSS (YAL040C)	protein_coding-promoter-TSS (YAL040C)	-803	YAL040C	YAL040C	YAL040C			CLN3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_104	IV	507304	507674	+	28	NA	promoter-TSS (YDR033W)	protein_coding-promoter-TSS (YDR033W)	-658	YDR033W	YDR033W	YDR033W			MRH1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_646	XV	877804	878159	+	28	NA	promoter-TSS (YOR298C-A)	protein_coding-promoter-TSS (YOR298C-A)	-296	YOR298C-A	YOR298C-A	YOR298C-A			MBF1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_218	V	409399	409612	+	28	NA	promoter-TSS (YER124C)	protein_coding-promoter-TSS (YER124C)	-442	YER124C	YER124C	YER124C			DSE1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_363	X	157318	158010	+	28	NA	promoter-TSS (YJL134W)	protein_coding-promoter-TSS (YJL134W)	-213	YJL135W	YJL135W	YJL135W			YJL135W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_669	XVI	135528	135776	+	28	NA	promoter-TSS (YPL220W)	protein_coding-promoter-TSS (YPL220W)	-138	YPL220W	YPL220W	YPL220W			RPL1A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_26	II	202278	202511	+	28	NA	promoter-TSS (YBL014C)	protein_coding-promoter-TSS (YBL014C)	338	YBL013W	YBL013W	YBL013W			FMT1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_119	IV	811808	812123	+	27	NA	promoter-TSS (YDR173C)	protein_coding-promoter-TSS (YDR173C)	-145	YDR174W	YDR174W	YDR174W			HMO1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_536	XIII	661639	661843	+	27	NA	promoter-TSS (YMR199W)	protein_coding-promoter-TSS (YMR199W)	-903	YMR199W	YMR199W	YMR199W			CLN1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_539	XIII	758903	759447	+	27	NA	promoter-TSS (YMR244C-A)	protein_coding-promoter-TSS (YMR244C-A)	-344	YMR244C-A	YMR244C-A	YMR244C-A			COA6			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_361	X	123419	123622	+	27	NA	promoter-TSS (YJL158C)	protein_coding-promoter-TSS (YJL158C)	-572	YJL158C	YJL158C	YJL158C			CIS3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_591	XIV	759318	759517	+	27	NA	promoter-TSS (YNR067C)	protein_coding-promoter-TSS (YNR067C)	-318	YNR067C	YNR067C	YNR067C			DSE4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_213	V	349619	349838	+	27	NA	promoter-TSS (YER094C)	protein_coding-promoter-TSS (YER094C)	-252	YER095W	YER095W	YER095W			RAD51			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_220	V	423098	423507	+	27	NA	promoter-TSS (YER130C)	protein_coding-promoter-TSS (YER130C)	-650	YER131W	YER131W	YER131W			RPS26B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_270	VII	307224	307424	+	27	NA	promoter-TSS (YGL105W)	protein_coding-promoter-TSS (YGL105W)	-113	YGL105W	YGL105W	YGL105W			ARC1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_171	IX	267915	268744	+	27	NA	promoter-TSS (YIL046W)	protein_coding-promoter-TSS (YIL046W)	20	YIL046W-A	YIL046W-A	YIL046W-A			YIL046W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_688	XVI	502435	503323	+	27	NA	promoter-TSS (YPL024W)	protein_coding-promoter-TSS (YPL024W)	151	YPL025C	YPL025C	YPL025C			YPL025C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_175	IX	338291	339195	+	27	NA	promoter-TSS (YIL009W)	protein_coding-promoter-TSS (YIL009W)	-601	YIL009W	YIL009W	YIL009W			FAA3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_715	XVI	901527	901726	+	27	NA	promoter-TSS (YPR184W)	protein_coding-promoter-TSS (YPR184W)	-418	YPR184W	YPR184W	YPR184W			GDB1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_62	II	798790	799150	+	27	NA	promoter-TSS (YBR296C)	protein_coding-promoter-TSS (YBR296C)	-448	YBR296C	YBR296C	YBR296C			PHO89			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_538	XIII	732185	732384	+	27	NA	promoter-TSS (YMR230W)	protein_coding-promoter-TSS (YMR230W)	-130	YMR230W	YMR230W	YMR230W			RPS10B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_369	X	227815	228080	+	27	NA	TTS (YJL104W)	protein_coding-TTS (YJL104W)	532	snR37	snR37	snR37			snR37			snoRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_586	XIV	651976	652254	+	27	NA	promoter-TSS (YNR013C)	protein_coding-promoter-TSS (YNR013C)	-350	YNR014W	YNR014W	YNR014W			YNR014W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_333	VIII	115064	115333	+	27	NA	promoter-TSS (YHR005C)	protein_coding-promoter-TSS (YHR005C)	-281	YHR005C	YHR005C	YHR005C			GPA1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_281	VII	516403	516604	+	27	NA	promoter-TSS (YGR014W)	protein_coding-promoter-TSS (YGR014W)	-440	YGR014W	YGR014W	YGR014W			MSB2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_525	XIII	379169	379447	+	27	NA	promoter-TSS (YMR050C)	protein_coding-promoter-TSS (YMR050C)	100	tW(CCA)M	tW(CCA)M	tW(CCA)M			tW(CCA)M			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_405	XI	140874	141088	+	27	NA	promoter-TSS (YKL165C)	protein_coding-promoter-TSS (YKL165C)	108	tE(UUC)K	tE(UUC)K	tE(UUC)K			tE(UUC)K			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_19	II	116894	117237	+	27	NA	promoter-TSS (YBL054W)	protein_coding-promoter-TSS (YBL054W)	-236	YBL055C	YBL055C	YBL055C			YBL055C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_519	XIII	296746	297030	+	26	NA	promoter-TSS (YMR013C)	protein_coding-promoter-TSS (YMR013C)	-150	YMR013C	YMR013C	YMR013C			SEC59			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_454	XII	253248	253629	+	26	NA	promoter-TSS (YLR055C)	protein_coding-promoter-TSS (YLR055C)	-358	YLR055C	YLR055C	YLR055C			SPT8			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_603	XV	159752	161351	+	26	NA	promoter-TSS (YOL086C)	protein_coding-promoter-TSS (YOL086C)	43	YOL086C	YOL086C	YOL086C			ADH1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_185	V	27306	27535	+	26	NA	promoter-TSS (YEL065W)	protein_coding-promoter-TSS (YEL065W)	-237	YEL065W	YEL065W	YEL065W			SIT1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_263	VII	165970	166456	+	26	NA	Intergenic	Intergenic	-1122	YGL179C	YGL179C	YGL179C			TOS3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_455	XII	259667	259866	+	26	NA	promoter-TSS (YLR058C)	protein_coding-promoter-TSS (YLR058C)	-365	YLR058C	YLR058C	YLR058C			SHM2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_616	XV	377951	378150	+	26	NA	promoter-TSS (YOR023C)	protein_coding-promoter-TSS (YOR023C)	-169	YOR025W	YOR025W	YOR025W			HST3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_605	XV	170096	170805	+	26	NA	promoter-TSS (YOL081W)	protein_coding-promoter-TSS (YOL081W)	-620	YOL081W	YOL081W	YOL081W			IRA2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_48	II	589228	589429	+	26	NA	promoter-TSS (YBR179C)	protein_coding-promoter-TSS (YBR179C)	-214	YBR179C	YBR179C	YBR179C			FZO1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_51	II	614152	614467	+	26	NA	promoter-TSS (YBR196C)	protein_coding-promoter-TSS (YBR196C)	-136	YBR196C-A	YBR196C-A	YBR196C-A			YBR196C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_2	I	32915	33163	+	26	NA	promoter-TSS (YAL061W)	protein_coding-promoter-TSS (YAL061W)	-409	YAL061W	YAL061W	YAL061W			BDH2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_160	IX	139207	139502	+	26	NA	promoter-TSS (YIL118W)	protein_coding-promoter-TSS (YIL118W)	-398	YIL118W	YIL118W	YIL118W			RHO3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_116	IV	699630	699853	+	26	NA	promoter-TSS (YDR123C)	protein_coding-promoter-TSS (YDR123C)	-273	YDR123C	YDR123C	YDR123C			INO2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_643	XV	832184	832796	+	26	NA	promoter-TSS (YOR271C)	protein_coding-promoter-TSS (YOR271C)	158	snR8	snR8	snR8			snR8			snoRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_267	VII	228367	228647	+	26	NA	promoter-TSS (YGL147C)	protein_coding-promoter-TSS (YGL147C)	-178	YGL147C	YGL147C	YGL147C			RPL9A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_41	II	466038	466638	+	26	NA	promoter-TSS (YBR112C)	protein_coding-promoter-TSS (YBR112C)	-568	YBR112C	YBR112C	YBR112C			CYC8			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_404	XI	108916	109213	+	26	NA	promoter-TSS (YKL180W)	protein_coding-promoter-TSS (YKL180W)	-205	YKL180W	YKL180W	YKL180W			RPL17A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_612	XV	285785	286041	+	26	NA	promoter-TSS (YOL020W)	protein_coding-promoter-TSS (YOL020W)	-259	YOL020W	YOL020W	YOL020W			TAT2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_554	XIV	89375	89795	+	26	NA	promoter-TSS (YNL288W)	protein_coding-promoter-TSS (YNL288W)	375	snR40	snR40	snR40			snR40			snoRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_426	XI	382094	382411	+	26	NA	promoter-TSS (YKL030W)	protein_coding-promoter-TSS (YKL030W)	180	YKL031W	YKL031W	YKL031W			YKL031W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_248	VI	263155	263411	+	26	NA	promoter-TSS (YFR055W)	protein_coding-promoter-TSS (YFR055W)	-921	YFR055W	YFR055W	YFR055W			IRC7			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_89	IV	221877	222299	+	26	NA	promoter-TSS (YDL133C-A)	protein_coding-promoter-TSS (YDL133C-A)	-287	YDL133C-A	YDL133C-A	YDL133C-A			RPL41B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_121	IV	867750	867949	+	26	NA	promoter-TSS (YDR207C)	protein_coding-promoter-TSS (YDR207C)	-327	YDR207C	YDR207C	YDR207C			UME6			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_567	XIV	374779	375183	+	26	NA	promoter-TSS (YNL132W)	protein_coding-promoter-TSS (YNL132W)	112	tF(GAA)N	tF(GAA)N	tF(GAA)N			tF(GAA)N			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_209	V	311568	311924	+	25	NA	promoter-TSS (YER075C)	protein_coding-promoter-TSS (YER075C)	349	tA(UGC)E	tA(UGC)E	tA(UGC)E			tA(UGC)E			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_254	VII	67295	67494	+	25	NA	promoter-TSS (YGL228W)	protein_coding-promoter-TSS (YGL228W)	-204	YGL228W	YGL228W	YGL228W			SHE10			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_317	VII	976889	977174	+	25	NA	promoter-TSS (YGR241C)	protein_coding-promoter-TSS (YGR241C)	-305	YGR243W	YGR243W	YGR243W			MPC3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_492	XII	903441	903657	+	25	NA	promoter-TSS (YLR389C)	protein_coding-promoter-TSS (YLR389C)	-175	YLR390W-A	YLR390W-A	YLR390W-A			CCW14			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_685	XVI	454978	455227	+	25	NA	promoter-TSS (YPL054W)	protein_coding-promoter-TSS (YPL054W)	-112	YPL055C	YPL055C	YPL055C			LGE1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_515	XIII	253227	253783	+	25	NA	promoter-TSS (YML007C-A)	protein_coding-promoter-TSS (YML007C-A)	-233	YML007C-A	YML007C-A	YML007C-A			YML007C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_706	XVI	775432	775740	+	25	NA	promoter-TSS (YPR120C)	protein_coding-promoter-TSS (YPR120C)	250	tC(GCA)P2	tC(GCA)P2	tC(GCA)P2			tC(GCA)P2			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_356	X	36502	36714	+	25	NA	promoter-TSS (YJL210W)	protein_coding-promoter-TSS (YJL210W)	-311	YJL210W	YJL210W	YJL210W			PEX2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_320	VII	1022024	1022251	+	25	NA	promoter-TSS (YGR264C)	protein_coding-promoter-TSS (YGR264C)	-284	YGR264C	YGR264C	YGR264C			MES1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_206	V	280922	281355	+	25	NA	promoter-TSS (YER062C)	protein_coding-promoter-TSS (YER062C)	-456	YER062C	YER062C	YER062C			GPP2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_165	IX	210648	210847	+	25	NA	promoter-TSS (tI(AAU)I2)	tRNA-promoter-TSS (tI(AAU)I2)	82	tI(AAU)I2	tI(AAU)I2	tI(AAU)I2			tI(AAU)I2			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_360	X	119976	120237	+	25	NA	promoter-TSS (YJL159W)	protein_coding-promoter-TSS (YJL159W)	-343	YJL159W	YJL159W	YJL159W			HSP150			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_477	XII	710445	710742	+	25	NA	promoter-TSS (YLR286C)	protein_coding-promoter-TSS (YLR286C)	-457	YLR286C	YLR286C	YLR286C			CTS1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_623	XV	494226	494852	+	25	NA	promoter-TSS (YOR092W)	protein_coding-promoter-TSS (YOR092W)	-588	YOR092W	YOR092W	YOR092W			ECM3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_540	XIII	773923	774498	+	25	NA	promoter-TSS (YMR251W-A)	protein_coding-promoter-TSS (YMR251W-A)	-542	YMR251W-A	YMR251W-A	YMR251W-A			HOR7			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_518	XIII	287436	287849	+	25	NA	promoter-TSS (YMR011W)	protein_coding-promoter-TSS (YMR011W)	-437	YMR011W	YMR011W	YMR011W			HXT2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_375	X	337737	337936	+	25	NA	promoter-TSS (YJL052W)	protein_coding-promoter-TSS (YJL052W)	167	YJL052C-A	YJL052C-A	YJL052C-A			YJL052C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_352	VIII	453053	453300	+	25	NA	promoter-TSS (YHR175W-A)	protein_coding-promoter-TSS (YHR175W-A)	304	YHR175W	YHR175W	YHR175W			CTR2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_236	VI	82029	82504	+	25	NA	promoter-TSS (YFL026W)	protein_coding-promoter-TSS (YFL026W)	-314	YFL026W	YFL026W	YFL026W			STE2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_302	VII	772013	772223	+	25	NA	promoter-TSS (YGR142W)	protein_coding-promoter-TSS (YGR142W)	-336	YGR142W	YGR142W	YGR142W			BTN2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_212	V	343196	343397	+	25	NA	promoter-TSS (YER091C-A)	protein_coding-promoter-TSS (YER091C-A)	441	YER092W	YER092W	YER092W			IES5			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_415	XI	231341	231755	+	25	NA	promoter-TSS (YKL109W)	protein_coding-promoter-TSS (YKL109W)	-679	YKL109W	YKL109W	YKL109W			HAP4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_491	XII	877441	878047	+	25	NA	promoter-TSS (YLR378C)	protein_coding-promoter-TSS (YLR378C)	-538	YLR380W	YLR380W	YLR380W			CSR1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_291	VII	625337	625536	+	25	NA	promoter-TSS (YGR067C)	protein_coding-promoter-TSS (YGR067C)	-650	YGR067C	YGR067C	YGR067C			YGR067C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_34	II	391565	391764	+	25	NA	promoter-TSS (YBR076C-A)	protein_coding-promoter-TSS (YBR076C-A)	-47	YBR076C-A	YBR076C-A	YBR076C-A			YBR076C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_128	IV	992794	993099	+	25	NA	promoter-TSS (YDR261C-C)	protein_coding-promoter-TSS (YDR261C-C)	114	tG(GCC)D2	tG(GCC)D2	tG(GCC)D2			tG(GCC)D2			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_683	XVI	450888	451117	+	25	NA	promoter-TSS (YPL058C)	protein_coding-promoter-TSS (YPL058C)	-625	YPL058C	YPL058C	YPL058C			PDR12			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_358	X	83112	83311	+	24	NA	promoter-TSS (YJL183W)	protein_coding-promoter-TSS (YJL183W)	-235	YJL185C	YJL185C	YJL185C			ATG36			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_577	XIV	569565	570008	+	24	NA	promoter-TSS (YNL034W)	protein_coding-promoter-TSS (YNL034W)	-95	YNL035C	YNL035C	YNL035C			YNL035C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_78	III	228585	229024	+	24	NA	promoter-TSS (YCR064C)	protein_coding-promoter-TSS (YCR064C)	-299	YCR064C	YCR064C	YCR064C			YCR064C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_50	II	605922	606142	+	24	NA	promoter-TSS (YBR190W)	protein_coding-promoter-TSS (YBR190W)	66	YBR190W	YBR190W	YBR190W			YBR190W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_154	IX	12	211	+	24	NA	promoter-TSS (YIL177W-A)	protein_coding-promoter-TSS (YIL177W-A)	-735	YIL177W-A	YIL177W-A	YIL177W-A			YIL177W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_199	V	212050	212339	+	24	NA	promoter-TSS (YER028C)	protein_coding-promoter-TSS (YER028C)	-318	YER028C	YER028C	YER028C			MIG3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_353	VIII	470578	470777	+	24	NA	promoter-TSS (YHR183W)	protein_coding-promoter-TSS (YHR183W)	-283	YHR183W	YHR183W	YHR183W			GND1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_335	VIII	126012	126373	+	24	NA	promoter-TSS (YHR009C)	protein_coding-promoter-TSS (YHR009C)	-329	YHR010W	YHR010W	YHR010W			RPL27A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_174	IX	332697	333605	+	24	NA	promoter-TSS (YIL011W)	protein_coding-promoter-TSS (YIL011W)	140	YIL012W	YIL012W	YIL012W			YIL012W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_488	XII	837592	837809	+	24	NA	promoter-TSS (YLR354C)	protein_coding-promoter-TSS (YLR354C)	-343	YLR354C	YLR354C	YLR354C			TAL1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_453	XII	241861	242111	+	24	NA	promoter-TSS (YLR047C)	protein_coding-promoter-TSS (YLR047C)	-246	YLR048W	YLR048W	YLR048W			RPS0B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_145	IV	1454636	1454924	+	24	NA	promoter-TSS (YDR502C)	protein_coding-promoter-TSS (YDR502C)	-316	YDR502C	YDR502C	YDR502C			SAM2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_652	XV	931268	931857	+	24	NA	promoter-TSS (YOR327C)	protein_coding-promoter-TSS (YOR327C)	-241	YOR328W	YOR328W	YOR328W			PDR10			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_365	X	173214	173508	+	24	NA	promoter-TSS (YJL130C)	protein_coding-promoter-TSS (YJL130C)	-994	YJL130C	YJL130C	YJL130C			URA2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_297	VII	706899	707156	+	24	NA	promoter-TSS (YGR109C)	protein_coding-promoter-TSS (YGR109C)	152	tC(GCA)G	tC(GCA)G	tC(GCA)G			tC(GCA)G			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_431	XI	463332	463883	+	24	NA	promoter-TSS (YKR011C)	protein_coding-promoter-TSS (YKR011C)	-352	YKR013W	YKR013W	YKR013W			PRY2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_283	VII	528554	528769	+	24	NA	promoter-TSS (YGR023W)	protein_coding-promoter-TSS (YGR023W)	-603	YGR023W	YGR023W	YGR023W			MTL1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_344	VIII	296781	297092	+	24	NA	promoter-TSS (YHR096C)	protein_coding-promoter-TSS (YHR096C)	-489	YHR096C	YHR096C	YHR096C			HXT5			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_40	II	452283	452546	+	24	NA	promoter-TSS (YBR105C)	protein_coding-promoter-TSS (YBR105C)	-244	YBR106W	YBR106W	YBR106W			PHO88			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_653	XV	968006	968442	+	24	NA	promoter-TSS (YOR342C)	protein_coding-promoter-TSS (YOR342C)	250	YOR343C	YOR343C	YOR343C			YOR343C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_649	XV	903935	904446	+	24	NA	promoter-TSS (YOR314W-A)	protein_coding-promoter-TSS (YOR314W-A)	-268	YOR314W-A	YOR314W-A	YOR314W-A			YOR314W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_237	VI	90397	90895	+	24	NA	promoter-TSS (YFL023W)	protein_coding-promoter-TSS (YFL023W)	-301	YFL024C	YFL024C	YFL024C			EPL1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_418	XI	260440	260879	+	24	NA	promoter-TSS (YKL096W)	protein_coding-promoter-TSS (YKL096W)	-473	YKL096W	YKL096W	YKL096W			CWP1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_493	XII	921620	921990	+	23	NA	promoter-TSS (YLR399C)	protein_coding-promoter-TSS (YLR399C)	-209	YLR399C	YLR399C	YLR399C			BDF1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_136	IV	1278819	1279023	+	23	NA	promoter-TSS (YDR406W)	protein_coding-promoter-TSS (YDR406W)	-289	YDR406W	YDR406W	YDR406W			PDR15			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_378	X	378419	378618	+	23	NA	promoter-TSS (YJL036W)	protein_coding-promoter-TSS (YJL036W)	158	tV(AAC)J	tV(AAC)J	tV(AAC)J			tV(AAC)J			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_571	XIV	479179	479853	+	23	NA	promoter-TSS (YNL078W)	protein_coding-promoter-TSS (YNL078W)	-252	YNL078W	YNL078W	YNL078W			NIS1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_391	X	651430	651809	+	23	NA	promoter-TSS (YJR123W)	protein_coding-promoter-TSS (YJR123W)	-282	YJR123W	YJR123W	YJR123W			RPS5			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_617	XV	384721	385067	+	23	NA	promoter-TSS (YOR028C)	protein_coding-promoter-TSS (YOR028C)	294	YOR029W	YOR029W	YOR029W			YOR029W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_377	X	374110	374596	+	23	NA	promoter-TSS (YJL039C)	protein_coding-promoter-TSS (YJL039C)	142	tD(GUC)J3	tD(GUC)J3	tD(GUC)J3			tD(GUC)J3			tRNA
